quote_no;productid;quantity;listprice;product_no;productname
QUO7556;4823;1;3300;PRO1694;SQL Svr Std 2008 Sngl OLP NL
QUO7556;4928;1;40370;PRO1730;Neverfail for MS SQL
QUO7556;4929;1;40370;PRO1731;Neverfail for IIS
QUO7556;109;1;13500;PRO9;TI-System Installation
QUO7557;4933;2;215;PRO1733;TRANSCEND Brand,2GB DDR2 RAM
QUO7558;4953;26;50;PRO1737;Tracing ,termination , testing and labelling of Da
QUO7559;4971;1;25821;PRO1750;HP Color LaserJet CM6030
QUO7560;4992;1;641.84;PRO1757;HP SC11Xe HBA
QUO7560;5060;6;46.36;PRO1798;HP DAT 72 data cartridge
QUO7561;5002;9;110;PRO1763;Web Hosting-Bandwidth Increase
QUO7562;5012;5;17;PRO1767;Rainbow brand_Head Phones with Mic
QUO7562;5011;5;50;PRO1766;Creative Brand_Head Phones with Mic
QUO7562;5010;5;90;PRO1765;Microsoft Brand_Head Phones with Mic
QUO7562;5016;5;679.45;PRO1768;Plantronics P261N/A SupraPlus
QUO7562;5017;5;593.85;PRO1769;Plantronics P141-U10P/A Duoset
QUO7562;5018;5;433.35;PRO1770;Plantronics P51N/A Supra Corded
QUO7562;5019;5;593.85;PRO1771;Plantronics H361N/A SupraPlus
QUO7562;5020;5;492.2;PRO1772;Plantronics H351N/A SupraPlus
QUO7562;5023;5;379.85;PRO1775;Plantronics H251/A SupraPlus
QUO7562;5026;5;470.8;PRO1778;Plantronics H141N/A DuoSet Corded
QUO7562;5025;5;486.85;PRO1777;Plantronics H91/A Encore Corded
QUO7562;5033;5;23;PRO1784;Aoutec Brand_Head Phones with Mic
QUO7562;5034;5;15;PRO1785;Lightwave Brand_Head Phones with Mic
QUO7563;3817;2;280000;PRO1622;BSD-ORACLE DEVELOPER
QUO7563;3816;1;370000;PRO1621;BSD-TECHNICAL ANALYST
QUO7564;4765;1;3640;PRO1672;BCM50 Rls 3.0 Global
QUO7564;4773;5;163;PRO1680;Cable Single End 15ft
QUO7564;4768;3;30;PRO1675;BCM50 Power Cord UK
QUO7564;4983;2;810;PRO1752;BCM50 Expansion
QUO7564;4767;1;190;PRO1674;BCM50 DMC Small System Wallmount Bracket
QUO7564;4770;2;390;PRO1677;BCM50 Expansion Port Software Auth Code
QUO7564;4986;8;90;PRO1755;BCM50 Main Unit Digital Station
QUO7564;5035;2;2900;PRO1786;Global 8x16 Media Bay Module
QUO7564;4774;1;750;PRO1681;T7316E Charcoal
QUO7564;5164;1;490;PRO1853;NORTEL-T7100
QUO7564;5163;1;530;PRO1852;NORTEL-T7208
QUO7565;4720;1;11800;PRO1663;HP DL380G5 E5420
QUO7565;1980;1;880;PRO1354;HP - Memory - 2 GB ( 2 x 1 GB ) - FB-DIMM 240-pin 
QUO7565;4876;2;1300;PRO1715;HP 146GB 10k 2.5 SAS HP SP HDD
QUO7566;2250;1;23360;PRO1416;HP DL380R05 X5450 4G Perf EU Svr
QUO7566;2023;1;1450;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7566;2339;1;450;PRO1457;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7566;4928;1;40370;PRO1730;Neverfail for MS SQL
QUO7566;109;1;9500;PRO9;TI-System Installation
QUO7567;4966;1;32500;PRO1745;XEROX 3040–A0 SIZE COPIER
QUO7568;4966;1;32500;PRO1745;XEROX 3040–A0 SIZE COPIER
QUO7568;5044;1;260;PRO1787;XEROX 3040 TONER
QUO7568;5046;1;1900;PRO1789;XEROX 3040 DRUM
QUO7568;5045;1;260;PRO1788;XEROX 3040 DEVELOPER
QUO7569;5045;1;260;PRO1788;XEROX 3040 DEVELOPER
QUO7569;5046;1;1900;PRO1789;XEROX 3040 DRUM
QUO7569;5044;1;260;PRO1787;XEROX 3040 TONER
QUO7570;5049;1;25530;PRO1790;HP Color LaserJet CM6030
QUO7571;5066;60;650;PRO1799;AMP Cat 6 cable
QUO7571;5067;288;44;PRO1800;AMP Cat 6 keystone jack
QUO7571;5068;6;1300;PRO1801;AMP 48 port patch panel
QUO7571;5069;288;34;PRO1802;AMP 1m Cat 6 patch cord
QUO7571;5070;288;39;PRO1803;AMP 3m Cat 6 patch cord
QUO7571;2017;12;190;PRO1377;Cable Organizer - Brush Panel
QUO7571;5072;2;3900;PRO1805;42U Cabinets. 800x1000
QUO7571;5073;2;1200;PRO1806;15Ux600(W)x450.KD
QUO7571;2335;288;240;PRO1454;Cable laying, termination, labeling and testing
QUO7571;2974;6;3844;PRO1495;Linksys48-Port 10/100/1000 Gigabit
QUO7571;3054;1;1100;PRO1508;Linksys-24-Port 10/100 + 4 Port Gigabit
QUO7572;5060;6;100;PRO1798;HP DAT 72 data cartridge
QUO7573;5077;1;12200;PRO1808;HP Color LaserJet 5550 Printer
QUO7573;5076;1;15900;PRO1807;HP Scanjet N9120
QUO7574;5081;1;1263.03;PRO1809;HP LaserJet M1522N Multifunction printer
QUO7575;2037;1;60000;PRO1397;Avaya S8300/G700-Telecommunication Converged Solut
QUO7575;2039;95;1300;PRO1399;9630 IP Phones
QUO7575;2040;1;30000;PRO1400;AVAYA-Installation, testing, commissioning & train
QUO7576;4074;1;15441;PRO1641;Project Server 2007 Sngl OLP NL
QUO7576;4078;1;100;PRO1643;Project Server 2007 32-bit/x64
QUO7576;4079;50;2910;PRO1644;Project Pro 2007 Sngl OLP NL
QUO7576;4080;50;100;PRO1645;Project Pro 2007
QUO7576;3167;50;5520;PRO1543;Project Management
QUO7576;4593;1;134000;PRO1651;BSD-IMPLEMENTATION FEES
QUO7577;2250;1;23360;PRO1416;HP DL380R05 X5450 4G Perf EU Svr
QUO7577;2023;1;1450;PRO1383;HP HDD 146GB 10K SAS 2.5
QUO7577;2339;1;450;PRO1457;HP 2GB FBD PC2-5300 2x1GB Kit
QUO7577;109;1;3500;PRO9;TI-System Installation
QUO7578;5097;2;1000;PRO1811;HP Officejet Pro K7103
QUO7579;2354;3;270;PRO1466;HP 72130 ml Cyan Ink Cartridge with Vivera Ink(C93
QUO7579;2357;3;270;PRO1469;HP 72130 ml Grey Ink Cartridge with Vivera Ink(C93
QUO7579;2355;3;270;PRO1467;HP 72130 ml Magenta Ink Cartridge with Vivera Ink(
QUO7579;2358;3;270;PRO1470;HP 72130 ml Matte Black Ink Cartridge with Vivera(
QUO7579;2356;3;270;PRO1468;HP 72130 ml yellow Ink Cartridge with Vivera Inkr(
QUO7580;5089;35;4;PRO1810;Patch Cable CAT5
QUO7581;5107;3;230;PRO1813;Power Adaptor HP6510
QUO7581;5106;1;250;PRO1812;Power Adaptor DV2000
QUO7582;5140;1;750;PRO1845;Transcend 500GB HDD (Anti shock,rubber case)
QUO7582;5138;1;550;PRO1843;1 Tera External Hard Disk(Buffalo,Maxtor,SeaGAte)
QUO7582;5139;1;920;PRO1844;Transcend StoreJet 1 Terabyte
QUO7583;5109;1;4100;PRO1814;IPO LIC IP500 IPO
QUO7583;5110;1;20;PRO1815;PWR CORD EUROPE
QUO7583;5111;5;60;PRO1816;IPO ¬PWR LEAD
QUO7583;5112;1;2500;PRO1817;IPO MC EMBD
QUO7583;5113;1;950;PRO1818;IPO 5420 DCP TELSET
QUO7583;5114;1;590;PRO1819;TELSET EU24 EXP
QUO7583;5148;95;610;PRO1848;IP PHONE 1616 BLK C2
QUO7583;5116;1;1900;PRO1821;IPO IP500 CNTL UNIT
QUO7583;5117;1;1600;PRO1822;IPO IP500 EXTN CARD
QUO7583;5118;2;1300;PRO1823;IPO IP500 TRNK ANLG 4UNIT
QUO7583;5119;1;80;PRO1824;IPO IP500 FEAT KEY AL
QUO7583;5120;3;6620.9;PRO1825;IPO IP500 EXP MOD
QUO7583;5121;5;126.5;PRO1826;IPO IP500 RACK MNTG KIT
QUO7583;5122;1;800;PRO1827;IPO IP500 EXT CARD PHONE 2
QUO7583;5124;1;100;PRO1829;1151D1 IP PHONE PWR
QUO7583;5125;1;6100;PRO1830;IPO IP500 EXP MOD
QUO7583;2040;1;20000;PRO1400;AVAYA-Installation, testing, commissioning & train
QUO7584;5066;45;650;PRO1799;AMP Cat 6 cable
QUO7584;5067;144;44;PRO1800;AMP Cat 6 keystone jack
QUO7584;5068;3;1300;PRO1801;AMP 48 port patch panel
QUO7584;5069;144;34;PRO1802;AMP 1m Cat 6 patch cord
QUO7584;5070;144;39;PRO1803;AMP 3m Cat 6 patch cord
QUO7584;2017;6;190;PRO1377;Cable Organizer - Brush Panel
QUO7584;5072;2;3900;PRO1805;42U Cabinets. 800x1000
QUO7584;5073;2;1200;PRO1806;15Ux600(W)x450.KD
QUO7584;2335;144;240;PRO1454;Cable laying, termination, labeling and testing
QUO7584;2974;3;3844;PRO1495;Linksys48-Port 10/100/1000 Gigabit
QUO7584;3054;1;1100;PRO1508;Linksys-24-Port 10/100 + 4 Port Gigabit
QUO7585;5151;1;40480;PRO1849;Neverfail for SQL
QUO7585;5152;1;40480;PRO1850;Neverfail for IIS
QUO7585;5153;1;16192;PRO1851;Neverfail Deployment
QUO7586;114;1;5000;PRO13;Website CMS Training
QUO7587;5174;2;8300;PRO1854;HP Scanjet N8460
QUO7588;4885;25;590;PRO1722;Windows Vista Business
QUO7588;4886;1;85;PRO1723;Windows Vista Business w/SP1 32-bit English Disk K
QUO7588;3117;25;1200;PRO1531;Office 2007 Sngl OLP NL
QUO7588;3118;1;85;PRO1532;Office 2007 Win32 English
QUO7589;5179;4;15;PRO1856;VGA Cables with 3 mtrs high
QUO7589;5177;3;275;PRO1855;VGA Spiltter 8 ports
QUO7590;5181;2;975;PRO1857;Mustek ScanExpress A3
QUO7591;5193;1;550;PRO1862;BCM50-Installation and Programming of 3 addtl.line
QUO7591;5192;3;180;PRO1861;BCM50-Trunk Elect.Authorization License
QUO7592;5144;50;90;PRO1846;Cable termination, labeling and testing
QUO7593;5196;90;9986.46;PRO1863;Dell Precision™ T3400 - DT / MT 525W Chassis Works
QUO7593;5202;60;1296;PRO1865;HP LaserJet Printer lj2015
QUO7593;5201;4;3370.36;PRO1864;HP P3005dn Printer
QUO7594;5203;1;29650;PRO1866;Phaser 7760DN A3-Size Color Printer
QUO7594;5204;1;15150;PRO1867;Phaser 7400 DN  A3 color printer
QUO7594;5205;1;30990;PRO1868;CopyCentre 5645
QUO7595;5208;1;1850;PRO1870;HP LaserJet P2055dn Printer
QUO7596;5216;1;590;PRO1875;Transcend 500GB  External HDD
QUO7596;5215;1;510;PRO1874;Western Digital External HDD 500 GB_USB 2.5
QUO7596;5214;1;410;PRO1873;Western Digital External HDD 500 GB_USB 3.5
QUO7597;5218;4;260;PRO1876;DDR 2 for IBM X series 346
QUO7598;5233;1;5720;PRO1880;IBM ThinkPad T61w
QUO7598;5232;1;5560;PRO1879;IBM Thinkpad T400
QUO7599;4872;1;2900;PRO1712;Win Svr Std 2003 R2a Win32 Eng 1pk DSP 1-4CPU 5 Cl
QUO7600;5244;3;400;PRO1881;2GB-PC2-3200 CL3 ECC
QUO7601;5250;1;25;PRO1886;Keyboard cleaner spray
QUO7601;5249;1;25;PRO1885;LCD Monitor spray
QUO7601;5248;10;70;PRO1884;Microsoft Optical Mouse
QUO7601;5246;1;180;PRO1882;SEAGATE 160GB SATA HDD
QUO7601;5247;2;180;PRO1883;SEAGATE 80GB IDE HDD
QUO7601;5255;3;140;PRO1890;HP NC6320 Power Adaptor (Original)
QUO7601;5253;1;140;PRO1888;HP NC6510 Power Adaptor(Original)
QUO7601;5254;2;140;PRO1889;HP NC6530 power Adaptor(original)
QUO7602;5256;1;6500;PRO1891;HP LaserJet P4515N
QUO7603;2136;5;100;PRO1409;Kingston 1 GB DDR1
QUO7603;5138;3;375;PRO1843;1 Tera External Hard Disk(Buffalo,Maxtor,SeaGAte)
QUO7604;5267;1;4120;PRO1894;HP LaserJet P4014n
QUO7604;5266;1;2900;PRO1893;HP LaserJet P3005n
QUO7604;5265;1;1790;PRO1892;HP LaserJet P2055dn
QUO7605;5270;1;800;PRO1895;Lenovo_Docking Station
QUO7605;5232;1;5650;PRO1879;IBM Thinkpad T400
QUO7606;5283;1;17000;PRO1896;Polycom VSX 6000 Point-to-Point Video Conferencing
QUO7606;5284;1;4200;PRO1897;ISDN Interface for making video calls over ISDN(VS
QUO7606;5285;1;700;PRO1898;SHELF
QUO7606;5286;1;9000;PRO1899;Visual Concert VSX(Optional)
QUO7606;5291;1;3500;PRO1904;Installation, testing, commissioning & one year st
QUO7607;5287;1;27275;PRO1900;Polycom HDX 7001 Video Conferencing System
QUO7607;5288;1;6900;PRO1901;ISDN Interface for making video calls over ISDN(HD
QUO7607;5289;1;700;PRO1902;SHELF
QUO7607;5290;1;13900;PRO1903;4 site multi-point software option to connect 4 vi
QUO7607;5291;1;3500;PRO1904;Installation, testing, commissioning & one year st
QUO7608;5295;1;500;PRO1905;Service Charge-Server Cabinet Dismantling
QUO7609;5310;1;515;PRO1909;Symantec BACKUP EXEC SERVER 12.5 WIN PER SERVER RE
QUO7609;5309;2;360;PRO1908;Symantec BACKUP EXEC AGENT FOR WINDOWS SYSTEMS 12.
QUO7609;5308;1;515;PRO1907;Symantec BACKUP EXEC AGENT FOR MSFT SQL 12.5 WIN P
QUO7609;5307;1;515;PRO1906;Symantec BACKUP EXEC AGENT FOR MSFT EXCHANGE 12.5 
QUO7610;5314;1;930;PRO1910;MGE Revolution 1150VA UPS
QUO7611;5323;1;140;PRO1911;1 GB DDR2 667 Mhz (Transcend)
QUO7612;3816;1;300000;PRO1621;BSD-TECHNICAL ANALYST
QUO7613;5330;1;4350;PRO1912;Xerox WC 4118X fax, copier, printer, scanner
QUO7614;3196;12;1800;PRO1551;Service Level Agreement-Primo
QUO7615;5338;1;3450;PRO1913;HP COMPAQ business desktop dc5800 MT
QUO7615;5339;3;750;PRO1914;"HP LCD 19""w Monitor"
QUO7615;5340;2;90;PRO1915;HP Standard basic Keyboard
QUO7615;5341;1;70;PRO1916;USB Optical Mouse
QUO7616;5186;1;550;PRO1859;Service Charge-Nortel BCM50A Line Check up,Fixing,
QUO7617;5352;1;440;PRO1917;HP Deskjet Printer 6943
QUO7618;3202;35;55;PRO1554;Trend Micro - OfficeScan Client Edition
QUO7619;5355;1;450;PRO1918;Linksys Wireless-G PrintServer with Multifunction
QUO7620;5360;3;135;PRO1921;Kingston 512 MB SDRAM
QUO7620;2136;34;145;PRO1409;Kingston 1 GB DDR1
QUO7621;2136;34;165;PRO1409;Kingston 1 GB DDR1
QUO7621;5359;14;120;PRO1920;Kingston 2 GB DDR2
QUO7621;5360;3;155;PRO1921;Kingston 512 MB SDRAM
QUO7621;109;1;500;PRO9;TI-System Installation
QUO7622;4837;2;3850;PRO1701;Modular Router w/2xFE, 2 WAN slots, 32 FL/128 DR
QUO7622;109;1;3600;PRO9;TI-System Installation
QUO7623;2136;20;165;PRO1409;Kingston 1 GB DDR1
QUO7623;5359;12;120;PRO1920;Kingston 2 GB DDR2
QUO7623;109;1;250;PRO9;TI-System Installation
QUO7624;2136;14;165;PRO1409;Kingston 1 GB DDR1
QUO7624;5360;3;155;PRO1921;Kingston 512 MB SDRAM
QUO7624;109;1;250;PRO9;TI-System Installation
QUO7624;5359;2;120;PRO1920;Kingston 2 GB DDR2
QUO7625;5370;40;140;PRO1922;UPS 650 VA
QUO7626;5389;1;515;PRO1928;HP LAserJet 1006
QUO7626;5391;2;30;PRO1929;Ribbon for Sticker Label Printing
QUO7626;5387;4;20;PRO1926;Sticker Label 38x25
QUO7627;5402;1;175;PRO1930;512 MB PC3200 CL2.5 DDR SDRAM
QUO7628;5404;1;205;PRO1931;1GB DDR400  FOR PC3200 CL2.5 DDR SDRAM
QUO7629;5424;1;790000;PRO1932;BPS-CONSULTATION
QUO7630;5424;1;790000;PRO1932;BPS-CONSULTATION
QUO7631;5428;1;950;PRO1933;Mustek A3 Scanner
QUO7632;5314;1;930;PRO1910;MGE Revolution 1150VA UPS
QUO7633;5381;1;300;PRO1924;Servicce Charge_addtl.fax line from drop point to 
QUO7634;5438;1;520;PRO1934;Xerox 4118 Toner
QUO7635;5391;2;30;PRO1929;Ribbon for Sticker Label Printing
QUO7635;5387;4;20;PRO1926;Sticker Label 38x25
QUO7636;5444;5;265;PRO1936;HP LaserJet Black Print Cartridge(lj 1020)
QUO7636;5443;2;565;PRO1935;HP LaserJet Black Print Cartridge(lj 4250)
QUO7637;3202;35;55;PRO1554;Trend Micro - OfficeScan Client Edition
QUO7638;109;1;4500;PRO9;TI-System Installation
QUO7639;5536;1;5616.84;PRO1937;HP ProCurve 2910al-24G Switch
QUO7639;5537;1;9490.52;PRO1938;HP ProCurve 2910al-48G Switch
QUO7639;109;1;900;PRO9;TI-System Installation
QUO7640;5352;1;325.39;PRO1917;HP Deskjet Printer 6943
QUO7641;5553;1;5478;PRO1939;Managed Co-location
QUO7641;5554;1;14204;PRO1940;Managed Co-location
QUO7642;5561;5;5520;PRO1942;Red Hat Enterprise Linux Adv.Platform,Standard
QUO7643;5564;3;225;PRO1943;HP NX7400 power adapter
QUO7644;5569;1;375;PRO1947;Dell Latitude D620 battery
QUO7644;5568;1;250;PRO1946;Dell Latitude D620 power adapter
QUO7644;5567;1;375;PRO1945;Dell Latitude D630 battery
QUO7644;5566;2;250;PRO1944;Dell Latitude D630 power adapter
QUO7644;5574;1;360;PRO1949;Wireless-G Range Expander
QUO7645;5571;1;7764;PRO1948;HP ProCurve Manager Plus v3 Software with 50 Devic
QUO7646;3153;2;250;PRO1536;TI-System Installation and Configuration
QUO7647;5593;1;169280;PRO1953;CERTIFIED SECURITY AUDIT
QUO7648;3816;1;300000;PRO1621;BSD-TECHNICAL ANALYST
QUO7649;5626;1;600;PRO1955;Reprogramming of Panasonic TDA100 phone System and
QUO7650;3240;5;1472;PRO1584;TI-RESIDENT TAM
QUO7651;5640;5;1050;PRO1958;HP LaserJet M1319F
QUO7651;5639;10;1310;PRO1957;HP LaserJet P2055dn
QUO7651;2393;50;465;PRO1480;"HP LCD MONITOR ""17 Multimedia"
QUO7652;4881;12;525;PRO1718;WIN XP PROF SP3 ENGLISH
QUO7652;5644;5;4190;PRO1959;HP DV6-1215
QUO7653;5648;10;1270;PRO1962;HP LAserJet P2015d   +duplex
QUO7653;5650;10;960;PRO1963;HP LAserJet Printer P2055D
QUO7654;5656;1;340000;PRO1964;BSD-J2EE CONSULTANT
QUO7655;5000;12;550;PRO1762;SLA-DMC-A2
QUO7656;5659;1;250;PRO1965;ITC- Service Charge
QUO7657;4668;1;300000;PRO1659;BSD-DBA
QUO7658;5370;20;135;PRO1922;UPS 650 VA
QUO7659;5644;10;4190;PRO1959;HP DV6-1215
QUO7659;5650;5;960;PRO1963;HP LAserJet Printer P2055D
QUO7659;5681;5;1050;PRO1973;HP LaserJet M1319F
QUO7660;5717;1;2300;PRO1977;HP 6730S Intel Dual Core 2.16
QUO7661;5719;12;55;PRO1978;Trend Micro-Worry-Free Business Security v6.x, Sta
QUO7661;5720;4;180;PRO1979;Trend Micro-Worry-Free Business Security v6.x, Sta
QUO7662;5724;1;350;PRO1981;Dlink 24 port switch (rack mounted)
QUO7662;5723;2;350;PRO1980;Panasonic Phone KX T7730
QUO7663;3764;1;1800;PRO1620;Web Hosting-Annual
QUO7664;5743;40;1800;PRO1982;HP dx2390--dual core 2.53-3gb ram-160gb hdd-dvdrw-
QUO7664;5670;40;550;PRO1972;HP 17  LCD Multimedia Monitor
QUO7665;5746;1;525;PRO1984;Targus_Docking Station
QUO7665;5747;3;340;PRO1985;HP Compaq 6510 BAttery
QUO7665;5748;3;200;PRO1986;HP Compaq 6510 Power Adaptor
QUO7666;5751;1;1600;PRO1988;HP ScanJet 5590 Digital Flatbed Scanner
QUO7666;5750;1;110;PRO1987;512MB PC2-3200 CL3 NP DDR2 SDRAM UDIMM Memory
QUO7667;5757;1;400;PRO1989;Phone Settings Configuration
QUO7668;5769;1;610;PRO1990;HP 2008 120W Basic Docking Station
QUO7668;5770;1;700;PRO1991;HP 2008 150W Advanced Docking Station
QUO7669;4593;1;67712;PRO1651;BSD-IMPLEMENTATION FEES
QUO7670;5352;1;440;PRO1917;HP Deskjet Printer 6943
QUO7671;5782;1;550;PRO1992;LJ P1006 16ppm, 8MB replaces LJ 1020
QUO7672;5791;1;220;PRO1994;2GB DDR2 RAM
QUO7672;5790;1;140;PRO1993;1GB DDR2 RAM
QUO7673;2016;8;28;PRO1376;Patch Cord CAT6 - 2M
QUO7674;3240;12;14000;PRO1584;TI-RESIDENT TAM
QUO7675;5600;5;1200;PRO1954;TI-Technical Assistance
QUO7676;3764;1;1800;PRO1620;Web Hosting-Annual
QUO7677;5853;3;240;PRO1995;SLA-DMC-A1
QUO7678;5875;1;6180;PRO1998;Xerox WC M20i
QUO7678;5874;1;5725;PRO1997;Xerox WC M20 Copy/Print
QUO7678;5873;1;4750;PRO1996;Xerox WC 4118X
QUO7679;4668;1;144000;PRO1659;BSD-DBA
QUO7680;5883;3;260;PRO2000;1GB PC3200 CL2.5 NP SDRAM UDIMM Memory
QUO7681;5723;1;360;PRO1980;Panasonic Phone KX T7730
QUO7681;2015;4;30;PRO1375;Patch Cord CAT6 - 3M
QUO7682;5907;1;500;PRO2003;1TB WD External HDD 2.5 USB
QUO7683;5913;1;6500;PRO2004;HP Lj Printer P4515n
QUO7684;5928;1;13500;PRO2006;CISCO2821
QUO7685;5944;1;850;PRO2009;HP OfficeJet Pro K7103 Color printer
QUO7685;5943;1;2350;PRO2008;HP Desktop with LCD Monitor
QUO7686;5947;1;300;PRO2010;NORTON GHOST 14.0 AR CD RET
QUO7687;4823;1;3300;PRO1694;SQL Svr Std 2008 Sngl OLP NL
QUO7687;5951;10;590;PRO2011;SQL CAL 2008 Sngl OLP NL User CAL
QUO7687;5952;1;90;PRO2012;SQL Svr Standard Edtn 2008 DVD
QUO7688;5853;12;240;PRO1995;SLA-DMC-A1
QUO7689;5969;2;12200;PRO2014;HP DL380 G6 E5520 Base EU Svr - 2U - Intel QC 2.26
QUO7689;5971;6;1350;PRO2016;HP146GB 10K SAS 2.5 DP
QUO7689;5972;1;6540;PRO2017;"HP TFT7600 Rckmnt Kybd 17"" Monitor INTL"
QUO7689;5976;2;2880;PRO2021;WinSvrStd 2008R2 SNGL OLP NL
QUO7689;3019;10;100;PRO1507;Windows Server CAL 2008 Sngl OLP NL User CAL
QUO7689;5977;1;100;PRO2022;WinSvrStd 2008R2 64Bit ENG DiskKit MVL DVD
QUO7689;5978;1;3200;PRO2023;SQL Svr Standard Edtn 2008 Sngl OLP NL
QUO7689;5979;10;600;PRO2024;SQL CAL 2008 Sngl OLP NL User CAL
QUO7689;5980;1;100;PRO2025;SQL Svr Standard Edtn 2008 English Disk Kit MVL DV
QUO7689;5981;1;5071;PRO2026;ISA Server Std Ed 2006 Sngl OLP NL 1 Proc
QUO7689;5982;1;100;PRO2027;ISA Server Std Ed 2006 English Disk Kit MVL CD
QUO7689;5986;1;18500;PRO2031;Dyn CRM Ent Svr Sngl Lic/SA Pack OLP NL Qualified
QUO7689;5987;10;3800;PRO2032;Dyn CRM CAL Sngl Lic/SA Pack OLP NL User CAL Quali
QUO7689;5988;1;100;PRO2033;Dyn CRM Ent Svr 4.0 32-bit/64-bit English Disk Kit
QUO7689;5989;1;1068;PRO2034;Linksys 24 port rack mounted
QUO7689;5973;1;1920;PRO2018;800*1000 Server Rack ,one shelf,with 6 ports power
QUO7689;5975;1;200;PRO2020;KVM  switch 4 port
QUO7689;3153;1;9200;PRO1536;TI-System Installation and Configuration
QUO7689;4593;1;35000;PRO1651;BSD-IMPLEMENTATION FEES
QUO7689;4134;1;2950;PRO1649;Cisco 837‐K9‐64 with ADSL
QUO7690;5991;1;16000;PRO2035;C3845-ADVIPSERVICESK9-M
QUO7691;5994;1;220;PRO2036;1GB- PC2 3200 CL3 NP DDR2 SDRAM UDIMM Memory for I
QUO7692;6000;1;630;PRO2037;HP Scan jet G4010 Photo Scanner
QUO7693;6002;1;6050;PRO2038;Latitude E6500 : Intel Core 2 Duo P8700(2.53GHz,10
QUO7694;6060;1;510;PRO2040;HP Office Jet 6000
QUO7695;6063;1;185;PRO2042;Power Supply 350W  115/230V
QUO7695;5659;1;350;PRO1965;ITC- Service Charge
QUO7696;112;1;40000;PRO11;Website Design and Development
QUO7697;112;1;40000;PRO11;Website Design and Development
QUO7698;112;1;40000;PRO11;Website Design and Development
QUO7699;112;1;40000;PRO11;Website Design and Development
QUO7700;112;1;40000;PRO11;Website Design and Development
QUO7701;112;1;40000;PRO11;Website Design and Development
QUO7702;112;1;40000;PRO11;Website Design and Development
QUO7703;112;1;40000;PRO11;Website Design and Development
QUO7704;5907;1;500;PRO2003;1TB WD External HDD 2.5 USB
QUO7705;5600;6;600;PRO1954;TI-Technical Assistance
QUO7706;5314;1;1100;PRO1910;MGE Revolution 1150VA UPS
QUO7707;5969;2;12200;PRO2014;HP DL380 G6 E5520 Base EU Svr - 2U - Intel QC 2.26
QUO7707;5971;6;1350;PRO2016;HP146GB 10K SAS 2.5 DP
QUO7707;5972;1;6540;PRO2017;"HP TFT7600 Rckmnt Kybd 17"" Monitor INTL"
QUO7707;5976;2;2880;PRO2021;WinSvrStd 2008R2 SNGL OLP NL
QUO7707;3019;10;100;PRO1507;Windows Server CAL 2008 Sngl OLP NL User CAL
QUO7707;5977;1;100;PRO2022;WinSvrStd 2008R2 64Bit ENG DiskKit MVL DVD
QUO7707;5978;1;3200;PRO2023;SQL Svr Standard Edtn 2008 Sngl OLP NL
QUO7707;5979;10;600;PRO2024;SQL CAL 2008 Sngl OLP NL User CAL
QUO7707;5980;1;100;PRO2025;SQL Svr Standard Edtn 2008 English Disk Kit MVL DV
QUO7707;5981;1;5071;PRO2026;ISA Server Std Ed 2006 Sngl OLP NL 1 Proc
QUO7707;5982;1;100;PRO2027;ISA Server Std Ed 2006 English Disk Kit MVL CD
QUO7707;5986;1;18500;PRO2031;Dyn CRM Ent Svr Sngl Lic/SA Pack OLP NL Qualified
QUO7707;5987;10;3800;PRO2032;Dyn CRM CAL Sngl Lic/SA Pack OLP NL User CAL Quali
QUO7707;5988;1;100;PRO2033;Dyn CRM Ent Svr 4.0 32-bit/64-bit English Disk Kit
QUO7707;5989;1;1068;PRO2034;Linksys 24 port rack mounted
QUO7707;5973;1;1920;PRO2018;800*1000 Server Rack ,one shelf,with 6 ports power
QUO7707;5975;1;200;PRO2020;KVM  switch 4 port
QUO7707;3153;1;9200;PRO1536;TI-System Installation and Configuration
QUO7707;4593;1;31500;PRO1651;BSD-IMPLEMENTATION FEES
QUO7707;4134;1;2950;PRO1649;Cisco 837‐K9‐64 with ADSL
QUO7708;6130;1;120;PRO2046;Dlink PCI gigabit LAN Card
QUO7708;6129;1;1980;PRO2045;Linksys manageable 24 port Switch
QUO7709;6144;2;4100;PRO2050;dc7900 CMT/Intel Core 2 Duo E8500 (3.16GHz 6M Cach
QUO7709;6145;2;550;PRO2051;"HP L1710 17 "" LCD Monitor"
QUO7709;6139;1;2850;PRO2048;Photoshop CS4 WIN International English
QUO7709;6140;1;2550;PRO2049;Illustrator CS4 IE for Win Retail pack
QUO7709;5682;1;4300;PRO1974;HP Laptop DV6 1215E
QUO7709;5645;1;590;PRO1960;Win XPPro SP3 Eng 3pkDSP 3 OEI CD
QUO7710;6183;1;750;PRO2052;DELL Simple E port Replicator (Docking Station)
QUO7711;5791;1;190;PRO1994;2GB DDR2 RAM
QUO7711;109;1;250;PRO9;TI-System Installation
QUO7712;6193;1;2980;PRO2053;APC UPS 2.2 kva
QUO7713;6197;1;600;PRO2056;One time Installation and Training in Dubai
QUO7713;6196;1;450;PRO2055;Operational kit & Time Attendance Software with CD
QUO7713;6195;1;2350;PRO2054;Fingerprint,Card and Password Based Time Attendanc
